DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,QUANITY,VOLUME
2020-03-22,NTC,622.0,632.0,610.0,623.0,275,168765
2020-03-19,NTC,605.0,617.0,600.0,610.0,33369,20166504
2020-03-18,NTC,615.0,615.0,600.0,605.0,16277,9847086
2020-03-17,NTC,632.0,632.0,607.0,609.0,27730,16901593
2020-03-16,NTC,625.0,626.0,610.0,620.0,14334,8859338
2020-03-15,NTC,640.0,640.0,615.0,617.0,13363,8338342
2020-03-12,NTC,649.0,649.0,625.0,633.0,8127,5137703
2020-03-11,NTC,647.0,666.0,628.0,639.0,18140,11527759
2020-03-10,NTC,671.0,671.0,634.0,635.0,2653,1698963
2020-03-05,NTC,642.0,666.0,642.0,658.0,9456,6202274
2020-03-04,NTC,690.0,690.0,652.0,653.0,13663,9022280
2020-03-03,NTC,670.0,700.0,655.0,678.0,13762,9263140
2020-03-02,NTC,720.0,720.0,681.0,681.0,6922,4787585
2020-03-01,NTC,733.0,790.0,701.0,706.0,57238,41120386
2020-02-27,NTC,750.0,750.0,715.0,719.0,39988,29041294
2020-02-26,NTC,732.0,768.0,722.0,738.0,109373,80722986
2020-02-25,NTC,660.0,732.0,656.0,722.0,55741,38519466
2020-02-24,NTC,650.0,696.0,650.0,666.0,26199,17446917
2020-02-23,NTC,634.0,650.0,630.0,649.0,38559,24573597
2020-02-20,NTC,634.0,635.0,618.0,629.0,19515,12158678
2020-02-19,NTC,633.0,648.0,617.0,624.0,7782,4838184
2020-02-18,NTC,633.0,633.0,621.0,624.0,11155,6970970
2020-02-17,NTC,622.0,631.0,618.0,623.0,12815,7948777
2020-02-16,NTC,615.0,629.0,615.0,619.0,4930,3054918
2020-02-13,NTC,625.0,629.0,615.0,617.0,6950,4289040
2020-02-12,NTC,615.0,631.0,615.0,619.0,4015,2486595
2020-02-11,NTC,622.0,622.0,618.0,620.0,7614,4714504
2020-02-10,NTC,630.0,630.0,617.0,620.0,2965,1834940
2020-02-09,NTC,618.0,623.0,617.0,620.0,2630,1627470
2020-02-06,NTC,626.0,630.0,620.0,624.0,5525,3439590
2020-02-05,NTC,617.0,626.0,617.0,626.0,4607,2864384
2020-02-04,NTC,629.0,630.0,619.0,624.0,1585,985210
2020-02-03,NTC,632.0,634.0,620.0,622.0,3766,2341774
2020-02-02,NTC,622.0,623.0,620.0,622.0,4636,2877710
2020-01-30,NTC,632.0,644.0,617.0,620.0,3320,2060260
2020-01-29,NTC,631.0,631.0,616.0,620.0,5090,3154210
2020-01-28,NTC,637.0,637.0,620.0,620.0,6925,4311120
2020-01-27,NTC,620.0,629.0,620.0,627.0,4050,2523880
2020-01-26,NTC,635.0,635.0,621.0,621.0,1262,785476
2020-01-23,NTC,633.0,645.0,621.0,627.0,6965,4358500
2020-01-22,NTC,627.0,633.0,621.0,621.0,3120,1951930
2020-01-21,NTC,649.0,649.0,626.0,627.0,2040,1285545
2020-01-20,NTC,645.0,645.0,625.0,637.0,10351,6590537
2020-01-19,NTC,640.0,650.0,637.0,650.0,13006,8343904
2020-01-16,NTC,645.0,656.0,636.0,639.0,3415,2186370
2020-01-15,NTC,645.0,645.0,639.0,644.0,4051,2593551
2020-01-14,NTC,655.0,669.0,637.0,645.0,6905,4438621
2020-01-13,NTC,667.0,667.0,639.0,645.0,92406,60455706
2020-01-12,NTC,618.0,636.0,616.0,636.0,6781,4221788
2020-01-09,NTC,626.0,626.0,617.0,620.0,2060,1275662
2020-01-08,NTC,627.0,639.0,620.0,623.0,2730,1699740
2020-01-07,NTC,618.0,624.0,618.0,621.0,4440,2758265
2020-01-06,NTC,620.0,620.0,611.0,618.0,2275,1399210
2020-01-05,NTC,615.0,620.0,607.0,615.0,3890,2387037
2020-01-02,NTC,618.0,618.0,613.0,613.0,1420,873450
2020-01-01,NTC,619.0,623.0,612.0,619.0,6310,3886900
2019-12-31,NTC,649.0,649.0,620.0,623.0,3034,1896758
2019-12-30,NTC,658.0,662.0,655.0,662.0,28830,19005838
2019-12-29,NTC,660.0,664.0,658.0,659.0,6455,4254337
2019-12-26,NTC,668.0,668.0,654.0,657.0,3815,2506070
2019-12-25,NTC,660.0,660.0,650.0,657.0,7225,4735546
2019-12-24,NTC,670.0,670.0,650.0,653.0,15459,10112842
2019-12-23,NTC,641.0,659.0,637.0,659.0,5000,3210900
2019-12-22,NTC,641.0,643.0,635.0,641.0,2262,1443946
2019-12-19,NTC,652.0,652.0,632.0,636.0,1808,1152456
2019-12-18,NTC,646.0,646.0,640.0,643.0,930,595710
2019-12-17,NTC,649.0,649.0,637.0,642.0,1540,985000
2019-12-16,NTC,650.0,659.0,636.0,640.0,10455,6678195
2019-12-15,NTC,664.0,677.0,637.0,659.0,530,345650
2019-12-12,NTC,668.0,669.0,651.0,651.0,825,539335
2019-12-11,NTC,663.0,670.0,646.0,656.0,1290,846380
2019-12-10,NTC,665.0,678.0,650.0,651.0,1667,1093140
2019-12-09,NTC,657.0,667.0,649.0,665.0,6915,4517310
2019-12-08,NTC,640.0,673.0,630.0,670.0,1902,1228946
2019-12-05,NTC,639.0,642.0,639.0,642.0,110,70370
2019-12-04,NTC,630.0,637.0,625.0,637.0,1320,827618
2019-12-03,NTC,639.0,639.0,620.0,630.0,2383,1492320
2019-12-02,NTC,639.0,642.0,630.0,637.0,615,390170
2019-12-01,NTC,638.0,639.0,630.0,639.0,1222,776952
2019-11-28,NTC,635.0,635.0,625.0,633.0,2920,1827460
2019-11-27,NTC,622.0,634.0,620.0,634.0,4005,2500365
2019-11-26,NTC,635.0,635.0,620.0,622.0,2920,1818210
2019-11-25,NTC,632.0,632.0,619.0,628.0,2065,1280205
2019-11-24,NTC,621.0,624.0,620.0,621.0,2538,1574629
2019-11-21,NTC,627.0,627.0,621.0,624.0,5775,3591300
2019-11-20,NTC,630.0,635.0,623.0,623.0,1565,977350
2019-11-19,NTC,617.0,627.0,617.0,626.0,2865,1782920
2019-11-18,NTC,630.0,630.0,618.0,624.0,1790,1107990
2019-11-17,NTC,630.0,630.0,615.0,624.0,6934,4282274
2019-11-14,NTC,634.0,634.0,620.0,620.0,1385,861710
2019-11-13,NTC,632.0,632.0,618.0,622.0,2700,1676930
2019-11-12,NTC,618.0,626.0,615.0,620.0,5130,3172530
2019-11-11,NTC,626.0,626.0,615.0,618.0,3030,1870895
2019-11-10,NTC,627.0,634.0,612.0,623.0,3005,1847259
2019-11-07,NTC,618.0,620.0,615.0,615.0,2685,1657755
