DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,QUANITY,VOLUME
3/22/2020,NICA,500,510,488,496,22489,11139985
3/22/2020,NTC,622,632,610,623,275,168765
3/19/2020,NICA,498,515,482,509,192055,96542563
3/19/2020,NTC,605,617,600,610,33369,20166504
3/18/2020,NICA,511,518,491,502,166700,83345062
3/18/2020,NTC,615,615,600,605,16277,9847086
3/17/2020,NICA,522,522,501,508,197047,100701962
3/17/2020,NTC,632,632,607,609,27730,16901593
3/16/2020,NICA,518,531,511,522,246391,128164965
3/16/2020,NTC,625,626,610,620,14334,8859338
3/15/2020,NICA,545,547,518,518,215664,114696266
3/15/2020,NTC,640,640,615,617,13363,8338342
3/12/2020,NICA,564,569,545,550,210135,116385683
3/12/2020,NTC,649,649,625,633,8127,5137703
3/11/2020,NICA,520,569,520,567,265635,146653796
3/11/2020,NTC,647,666,628,639,18140,11527759
3/10/2020,NICA,564,564,526,526,149878,82055114
3/10/2020,NTC,671,671,634,635,2653,1698963
3/5/2020,NICA,588,589,560,575,168687,96806015
3/5/2020,NTC,642,666,642,658,9456,6202274
3/4/2020,NICA,608,610,577,577,220724,130103508
3/4/2020,NTC,690,690,652,653,13663,9022280
3/3/2020,NICA,591,621,579,608,305633,183699660
3/3/2020,NTC,670,700,655,678,13762,9263140
3/2/2020,NICA,639,639,600,603,236109,146152150
3/2/2020,NTC,720,720,681,681,6922,4787585
3/1/2020,NICA,670,680,636,639,334054,218894988
3/1/2020,NTC,733,790,701,706,57238,41120386
2/27/2020,NICA,605,663,587,660,330732,205946505
2/27/2020,NTC,750,750,715,719,39988,29041294
2/26/2020,NICA,603,615,595,610,166838,101202808
2/26/2020,NTC,732,768,722,738,109373,80722986
2/25/2020,NICA,588,598,575,595,153538,90755857
2/25/2020,NTC,660,732,656,722,55741,38519466
2/24/2020,NICA,607,619,590,594,174260,104420809
2/24/2020,NTC,650,696,650,666,26199,17446917
2/23/2020,NICA,556,602,556,596,159238,92857403
2/23/2020,NTC,634,650,630,649,38559,24573597
2/20/2020,NICA,548,554,548,554,106954,58865286
2/20/2020,NTC,634,635,618,629,19515,12158678
2/19/2020,NICA,550,553,543,547,109712,59966378
2/19/2020,NTC,633,648,617,624,7782,4838184
2/18/2020,NICA,544,558,540,548,194043,106515662
2/18/2020,NTC,633,633,621,624,11155,6970970
2/17/2020,NICA,513,545,513,539,164128,87533291
2/17/2020,NTC,622,631,618,623,12815,7948777
2/16/2020,NICA,503,511,502,511,78765,39781843
2/16/2020,NTC,615,629,615,619,4930,3054918
2/13/2020,NICA,507,509,500,503,99381,50136348
2/13/2020,NTC,625,629,615,617,6950,4289040
2/12/2020,NICA,505,510,504,508,123088,62453850
2/12/2020,NTC,615,631,615,619,4015,2486595
2/11/2020,NICA,497,505,490,503,228518,114030674
2/11/2020,NTC,622,622,618,620,7614,4714504
2/10/2020,NICA,483,489,482,488,73372,35573326
2/10/2020,NTC,630,630,617,620,2965,1834940
2/9/2020,NICA,481,490,478,483,71613,34623533
2/9/2020,NTC,618,623,617,620,2630,1627470
2/6/2020,NICA,483,485,479,481,66736,32138168
2/6/2020,NTC,626,630,620,624,5525,3439590
2/5/2020,NICA,500,500,480,482,45781,22094590
2/5/2020,NTC,617,626,617,626,4607,2864384
2/4/2020,NICA,488,489,481,481,63839,31011130
2/4/2020,NTC,629,630,619,624,1585,985210
2/3/2020,NICA,495,496,487,488,71812,35184109
2/3/2020,NTC,632,634,620,622,3766,2341774
2/2/2020,NICA,484,493,482,492,128887,62995689
2/2/2020,NTC,622,623,620,622,4636,2877710
1/30/2020,NICA,471,483,470,480,65696,31360789
1/30/2020,NTC,632,644,617,620,3320,2060260
1/29/2020,NICA,478,478,469,470,31065,14690851
1/29/2020,NTC,631,631,616,620,5090,3154210
1/28/2020,NICA,475,480,474,475,42456,20258112
1/28/2020,NTC,637,637,620,620,6925,4311120
1/27/2020,NICA,465,474,464,471,57507,27049862
1/27/2020,NTC,620,629,620,627,4050,2523880
1/26/2020,NICA,472,475,466,467,63904,29986306
1/26/2020,NTC,635,635,621,621,1262,785476
1/23/2020,NICA,485,485,470,472,55322,26240792
1/23/2020,NTC,633,645,621,627,6965,4358500
1/22/2020,NICA,490,490,477,478,61558,29577488
1/22/2020,NTC,627,633,621,621,3120,1951930
1/21/2020,NICA,488,493,480,482,195430,94612006
1/21/2020,NTC,649,649,626,627,2040,1285545
1/20/2020,NICA,484,492,470,479,125366,59848902
1/20/2020,NTC,645,645,625,637,10351,6590537
1/19/2020,NICA,484,489,475,477,131384,63023343
1/19/2020,NTC,640,650,637,650,13006,8343904
1/16/2020,NICA,475,484,475,475,142355,68316816
1/16/2020,NTC,645,656,636,639,3415,2186370
1/15/2020,NICA,446,474,446,472,160108,74074770
1/15/2020,NTC,645,645,639,644,4051,2593551
1/14/2020,NICA,450,450,443,443,64306,28696608
1/14/2020,NTC,655,669,637,645,6905,4438621
1/13/2020,NICA,452,459,445,450,123765,55759617
1/13/2020,NTC,667,667,639,645,92406,60455706
1/12/2020,NICA,439,451,438,446,91556,40781110
1/12/2020,NTC,618,636,616,636,6781,4221788
1/9/2020,NICA,431,437,431,433,33427,14527988
1/9/2020,NTC,626,626,617,620,2060,1275662
1/8/2020,NICA,439,442,432,434,98321,42809668
1/8/2020,NTC,627,639,620,623,2730,1699740
1/7/2020,NICA,442,449,435,438,146948,64800633
1/7/2020,NTC,618,624,618,621,4440,2758265
1/6/2020,NICA,430,441,428,440,194558,84742033
1/6/2020,NTC,620,620,611,618,2275,1399210
1/5/2020,NICA,414,431,413,427,102503,43441128
1/5/2020,NTC,615,620,607,615,3890,2387037
1/2/2020,NICA,413,415,411,413,41445,17121498
1/2/2020,NTC,618,618,613,613,1420,873450
1/1/2020,NICA,410,413,408,411,35563,14601163
1/1/2020,NTC,619,623,612,619,6310,3886900
12/31/2019,NICA,413,414,407,408,28129,11503766
12/31/2019,NTC,649,649,620,623,3034,1896758
12/30/2019,NICA,407,408,405,405,28616,11625887
12/30/2019,NTC,658,662,655,662,28830,19005838
12/29/2019,NICA,415,415,406,408,18417,7534681
12/29/2019,NTC,660,664,658,659,6455,4254337
12/26/2019,NICA,414,414,412,412,35827,14788174
12/26/2019,NTC,668,668,654,657,3815,2506070
12/25/2019,NICA,414,416,413,413,41239,17096840
12/25/2019,NTC,660,660,650,657,7225,4735546
12/24/2019,NICA,415,419,414,414,34008,14136807
12/24/2019,NTC,670,670,650,653,15459,10112842
12/23/2019,NICA,421,421,414,415,46469,19283453
12/23/2019,NTC,641,659,637,659,5000,3210900
12/22/2019,NICA,412,419,412,415,23136,9580029
12/22/2019,NTC,641,643,635,641,2262,1443946
12/19/2019,NICA,418,418,413,413,23427,9694900
12/19/2019,NTC,652,652,632,636,1808,1152456
12/18/2019,NICA,420,420,414,416,17181,7123940
12/18/2019,NTC,646,646,640,643,930,595710
12/17/2019,NICA,415,418,413,414,24206,10041469
12/17/2019,NTC,649,649,637,642,1540,985000
12/16/2019,NICA,425,425,414,418,46637,19507903
12/16/2019,NTC,650,659,636,640,10455,6678195
12/15/2019,NICA,415,424,414,421,62405,26149734
12/15/2019,NTC,664,677,637,659,530,345650
12/12/2019,NICA,412,418,412,414,17030,7038758
12/12/2019,NTC,668,669,651,651,825,539335
12/11/2019,NICA,410,415,410,414,13581,5595973
12/11/2019,NTC,663,670,646,656,1290,846380
12/10/2019,NICA,414,415,409,410,20176,8266796
12/10/2019,NTC,665,678,650,651,1667,1093140
12/9/2019,NICA,405,410,405,410,17775,7262497
12/9/2019,NTC,657,667,649,665,6915,4517310
12/8/2019,NICA,407,409,404,405,24612,9971612
12/8/2019,NTC,640,673,630,670,1902,1228946
12/5/2019,NICA,405,408,405,407,24306,9879145
12/5/2019,NTC,639,642,639,642,110,70370
12/4/2019,NICA,409,409,403,403,47834,19360746
12/4/2019,NTC,630,637,625,637,1320,827618
12/3/2019,NICA,405,407,403,405,31452,12720791
12/3/2019,NTC,639,639,620,630,2383,1492320
12/2/2019,NICA,406,407,404,404,26575,10783865
12/2/2019,NTC,639,642,630,637,615,390170
12/1/2019,NICA,407,407,405,406,30520,12397298
12/1/2019,NTC,638,639,630,639,1222,776952
11/28/2019,NICA,408,410,406,406,19814,8084163
11/28/2019,NTC,635,635,625,633,2920,1827460
11/27/2019,NICA,405,408,405,408,16628,6763101
11/27/2019,NTC,622,634,620,634,4005,2500365
11/26/2019,NICA,404,406,403,406,24891,10073543
11/26/2019,NTC,635,635,620,622,2920,1818210
11/25/2019,NICA,400,408,398,405,10402,4186013
11/25/2019,NTC,632,632,619,628,2065,1280205
11/24/2019,NICA,402,406,396,400,21650,8624685
11/24/2019,NTC,621,624,620,621,2538,1574629
11/21/2019,NICA,410,413,400,404,31833,12841487
11/21/2019,NTC,627,627,621,624,5775,3591300
11/20/2019,NICA,411,417,407,410,20611,8495698
11/20/2019,NTC,630,635,623,623,1565,977350
11/19/2019,NICA,419,419,410,411,21424,8849797
11/19/2019,NTC,617,627,617,626,2865,1782920
11/18/2019,NICA,420,424,415,417,33570,14013032
11/18/2019,NTC,630,630,618,624,1790,1107990
11/17/2019,NICA,414,420,410,418,94663,39362153
11/17/2019,NTC,630,630,615,624,6934,4282274
11/14/2019,NICA,399,406,399,406,22377,9023197
11/14/2019,NTC,634,634,620,620,1385,861710
11/13/2019,NICA,398,400,398,399,8746,3490485
11/13/2019,NTC,632,632,618,622,2700,1676930
11/12/2019,NICA,404,406,398,398,12817,5125024
11/12/2019,NTC,618,626,615,620,5130,3172530
11/11/2019,NICA,398,406,398,404,21981,8849692
11/11/2019,NTC,626,626,615,618,3030,1870895
11/10/2019,NICA,406,406,397,400,27061,10792086
11/10/2019,NTC,627,634,612,623,3005,1847259
11/7/2019,NICA,397,403,397,399,10888,4332033
11/7/2019,NTC,618,620,615,615,2685,1657755
11/6/2019,NICA,400,404,396,400,20215,8069098
11/6/2019,NTC,625,625,617,617,1550,961640
11/5/2019,NICA,400,401,397,397,13299,5303364
11/5/2019,NTC,629,629,621,624,2100,1306940
11/4/2019,NICA,405,405,397,400,10935,4371389
11/4/2019,NTC,643,643,620,627,770,481440
11/3/2019,NICA,408,408,402,405,10405,4204941
11/3/2019,NTC,644,645,625,633,1587,998915
10/31/2019,NICA,416,418,408,408,29033,11957266
10/31/2019,NTC,638,642,627,638,2460,1555620
10/24/2019,NICA,400,414,400,411,84273,34542544
10/24/2019,NTC,632,632,625,632,270,169660
10/23/2019,NICA,392,401,390,398,37258,14693240
10/23/2019,NTC,620,635,619,620,1320,819350
10/22/2019,NICA,384,391,384,391,24454,9463846
10/22/2019,NTC,624,624,616,616,2815,1739180
10/21/2019,NICA,382,389,382,384,6069,2330121
10/21/2019,NTC,625,629,618,620,2100,1301600
10/20/2019,NICA,393,400,382,382,12661,4850201
10/17/2019,NICA,387,387,384,386,10188,3924122
10/17/2019,NTC,635,647,620,620,5255,3260885
10/16/2019,NICA,390,390,383,386,15604,5995326
10/16/2019,NTC,640,640,623,623,1485,933310
10/15/2019,NICA,380,385,378,385,11302,4296377
10/15/2019,NTC,640,653,630,634,725,458015
10/14/2019,NICA,385,385,378,378,10343,3945902
